-72.1715,42.5378, MXCOHRTS ,142,1895,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1896,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1897,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1898,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1899,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1900,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1901,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1902,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1903,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1904,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1905,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1906,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1907,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1908,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1909,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1910,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1911,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1912,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1913,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1914,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1915,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1916,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1917,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1918,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1919,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1920,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1921,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1922,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1923,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1924,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1925,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1926,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1927,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1928,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1929,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1930,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1931,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1932,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1933,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1934,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1935,2,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1936,2,2, United_States_of_America
